frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
54,40,64,6,4,80,38449,0,1,1,0,0,6912,,,,,,,benign
1514,1500,64,6,4,80,38449,1460,1,1,0,0,6912,,,,,,,benign
1514,1500,64,6,4,80,38449,1460,1461,1,0,0,6912,,,,,,,benign
1250,1236,64,6,4,80,38449,1196,2921,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38449,80,0,172,1,0,0,1049600,,,,,,,benign
54,40,128,6,4,38449,80,0,172,1,1,0,1049600,,,,,,,benign
54,40,64,6,4,80,38449,0,4117,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38449,80,0,173,1,0,0,1049600,,,,,,,benign
66,52,128,6,4,38450,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38450,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38450,80,0,1,1,0,0,1049600,,,,,,,benign
226,212,128,6,4,38450,80,172,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38450,0,1,1,0,0,6912,,,,,,,benign
998,984,64,6,4,80,38450,944,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38450,80,0,173,1,1,0,1048576,,,,,,,benign
54,40,64,6,4,80,38450,0,945,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38450,80,0,174,1,0,0,1048576,,,,,,,benign
66,52,128,6,4,38451,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38451,0,0,1,0,0,5840,,,,,,,benign
74,60,64,6,4,52936,8080,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,34202,554,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,46696,113,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,51530,22,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,8080,52936,0,0,1,0,0,5792,,,,,,,suspicious
54,40,64,6,4,554,34202,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,113,46696,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,22,51530,0,0,1,0,0,5792,,,,,,,suspicious
74,60,64,6,4,55970,256,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,256,55970,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,52936,8080,0,1,1,0,0,64512,,,,,,,suspicious
74,60,64,6,4,36874,8888,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,34066,5900,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,53618,25,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,51416,53,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,8888,36874,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,44400,80,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,5900,34066,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,25,53618,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,52936,8080,0,1,1,0,1,64512,,,,,,,suspicious
54,40,64,6,4,53,51416,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,80,44400,0,0,1,0,0,5792,,,,,,,suspicious
74,60,64,6,4,44568,199,0,0,0,0,0,64240,,,,,,,suspicious
66,52,64,6,4,51530,22,0,1,1,0,0,64512,,,,,,,suspicious
66,52,64,6,4,44400,80,0,1,1,0,0,64512,,,,,,,suspicious
54,40,64,6,4,199,44568,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,38448,1025,0,0,0,0,0,64240,,,,,,,suspicious
66,52,64,6,4,51530,22,0,1,1,0,1,64512,,,,,,,suspicious
54,40,64,6,4,1025,38448,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,44400,80,0,1,1,0,1,64512,,,,,,,suspicious
74,60,64,6,4,37172,111,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,111,37172,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,45298,445,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,49984,23,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,48180,1723,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,445,45298,0,0,1,0,0,5792,,,,,,,suspicious
74,60,64,6,4,59486,587,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,23,49984,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,1723,48180,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,45298,445,0,1,1,0,0,64512,,,,,,,suspicious
54,40,64,6,4,587,59486,0,1,1,0,1,0,,,,,,,suspicious
